,COD ID,RMSD,Original Energy,Minimized Energy (OpenMM),Minimized Energy (Cell Minimization),Original Box Vectors,Minimized Box Vectors
10,1511816,[1.2203397],-98371.80265957995 kJ/mol,-103572.19579195077 kJ/mol,-103572.19579195077 kJ/mol,"[[ 2.157       0.          0.        ]
 [ 0.          4.3296      0.        ]
 [-0.05853087  0.          2.86590237]]","[[ 2.157       0.          0.        ]
 [ 0.          4.3296      0.        ]
 [-0.05853087  0.          2.86590237]]"
11,1519191,[1.0121789],-66271.3550553064 kJ/mol,-70824.23767695611 kJ/mol,-70974.36945428941 kJ/mol,"[[ 2.6607      0.          0.        ]
 [ 0.          2.6745      0.        ]
 [-1.04174242  0.          2.80116095]]","[[ 2.65015527e+00  0.00000000e+00  0.00000000e+00]
 [ 4.80861467e-03  2.68139899e+00  0.00000000e+00]
 [-1.03270445e+00  1.98350495e-03  2.78299283e+00]]"
12,7219800,[0.6647234],45584.92681264337 kJ/mol,43264.28380007212 kJ/mol,43198.74304606528 kJ/mol,"[[ 2.9268      0.          0.        ]
 [ 0.          2.337       0.        ]
 [-0.53586153  0.          3.33431505]]","[[ 2.94157951  0.          0.        ]
 [-0.00350115  2.3526314   0.        ]
 [-0.54032922  0.0033722   3.33550532]]"
13,2212364,[0.7295499],-55527.42403853064 kJ/mol,-64450.20422958806 kJ/mol,-64541.23248849063 kJ/mol,"[[ 2.3688      0.          0.        ]
 [ 0.          5.2149      0.        ]
 [-0.50467949  0.          2.28400688]]","[[ 2.37886723e+00  0.00000000e+00  0.00000000e+00]
 [-1.40222488e-03  5.22439813e+00  0.00000000e+00]
 [-5.06469112e-01 -2.02417448e-03  2.29844516e+00]]"
14,2200633,[0.8331123],34856.8959389878 kJ/mol,31555.600676702234 kJ/mol,28832.70371090275 kJ/mol,"[[ 2.406       0.          0.        ]
 [ 0.          4.641       0.        ]
 [-0.59943928  0.          2.86935398]]","[[ 2.4704559   0.          0.        ]
 [ 0.00844312  4.66448748  0.        ]
 [-0.59068622  0.02342601  2.81121879]]"
15,2012267,[0.9677616],-22206.351138500795 kJ/mol,-23703.06057022442 kJ/mol,-23703.060570224407 kJ/mol,"[[ 2.5536      0.          0.        ]
 [ 0.          2.6276      0.        ]
 [-1.01867421  0.          2.89914078]]","[[ 2.55360000e+00  0.00000000e+00  0.00000000e+00]
 [-1.24745590e-17  2.62760000e+00  0.00000000e+00]
 [-1.01867421e+00 -2.19815643e-15  2.89914078e+00]]"
16,7151616,[0.01493711],25160.906327347737 kJ/mol,21146.07792430008 kJ/mol,21075.015574075303 kJ/mol,"[[2.2422 0.     0.    ]
 [0.     2.4816 0.    ]
 [0.     0.     5.7706]]","[[ 2.25076088e+00  0.00000000e+00  0.00000000e+00]
 [-1.55831900e-04  2.49938937e+00  0.00000000e+00]
 [ 1.47712022e-04 -4.39038126e-04  5.78031530e+00]]"
17,7052010,[0.7207557],-92381.48287397984 kJ/mol,-97224.07458719597 kJ/mol,-97224.07458719595 kJ/mol,"[[ 2.703       0.          0.        ]
 [ 0.          2.6416      0.        ]
 [-0.38903608  0.          2.72668653]]","[[ 2.70300000e+00  0.00000000e+00  0.00000000e+00]
 [-1.84790175e-15  2.64160000e+00  0.00000000e+00]
 [-3.89036080e-01 -6.86250571e-16  2.72668653e+00]]"
18,2208405,[1.4988806],9655.580022885548 kJ/mol,6507.002963716492 kJ/mol,6397.221456068508 kJ/mol,"[[2.6631     0.         0.        ]
 [0.6633413  2.69455067 0.        ]
 [1.28265021 0.5905387  2.45381329]]","[[2.69715012 0.         0.        ]
 [0.65469722 2.70944006 0.        ]
 [1.27677585 0.59473081 2.4701197 ]]"
19,2238479,[0.7275906],-38217.0048564542 kJ/mol,-41490.844519262704 kJ/mol,-42522.952015404866 kJ/mol,"[[ 2.438       0.          0.        ]
 [ 0.          3.6306      0.        ]
 [-0.46653636  0.          2.90943214]]","[[ 2.47465271e+00  0.00000000e+00  0.00000000e+00]
 [ 2.22117237e-02  3.57725086e+00  0.00000000e+00]
 [-4.93701182e-01 -2.11945649e-03  2.92598687e+00]]"
20,2203241,[1.0122641],-14834.739512956712 kJ/mol,-18247.837477655467 kJ/mol,-18266.38896783125 kJ/mol,"[[2.385      0.         0.        ]
 [0.05358756 2.22445463 0.        ]
 [0.09799242 0.90486855 3.73675346]]","[[2.37942342 0.         0.        ]
 [0.05127409 2.22555341 0.        ]
 [0.09479403 0.90374102 3.74215185]]"
21,1516412,[0.6564944],-6174.1227522523 kJ/mol,-9490.830298857778 kJ/mol,-13453.251481053918 kJ/mol,"[[ 2.1876      0.          0.        ]
 [ 0.          2.1058      0.        ]
 [-0.31688941  0.          2.3376189 ]]","[[ 2.29725668  0.          0.        ]
 [ 0.03075981  2.13740925  0.        ]
 [-0.36603915  0.02489761  2.41363158]]"
22,2219974,[0.02437963],50611.597941556785 kJ/mol,40316.007862885366 kJ/mol,40228.57467115812 kJ/mol,"[[2.5288 0.     0.    ]
 [0.     4.9584 0.    ]
 [0.     0.     2.3124]]","[[ 2.55868502e+00  0.00000000e+00  0.00000000e+00]
 [-3.25549117e-03  4.94333327e+00  0.00000000e+00]
 [-1.21326586e-02 -2.32979894e-02  2.32524940e+00]]"
23,2300006,[0.76089305],-6983.40084270943 kJ/mol,-16802.878539613248 kJ/mol,-16821.32113321711 kJ/mol,"[[ 2.7966      0.          0.        ]
 [ 0.          2.1916      0.        ]
 [-0.52752175  0.          2.66906899]]","[[ 2.79472964e+00  0.00000000e+00  0.00000000e+00]
 [-2.59267158e-04  2.19973917e+00  0.00000000e+00]
 [-5.26559864e-01  5.41204783e-04  2.67343127e+00]]"
24,2018597,[0.30918378],-37829.4854889666 kJ/mol,-41804.055113075156 kJ/mol,-42134.594363175216 kJ/mol,"[[ 2.406       0.          0.        ]
 [ 0.          4.3119      0.        ]
 [-0.20962552  0.          2.96800645]]","[[ 2.42842838  0.          0.        ]
 [-0.01829779  4.31701035  0.        ]
 [-0.234353    0.00883597  2.99084728]]"
25,2100662,[0.56354713],520.8433251989409 kJ/mol,-8519.968525307464 kJ/mol,-8525.16197999606 kJ/mol,"[[ 2.056       0.          0.        ]
 [ 0.          3.4089      0.        ]
 [-0.32078663  0.          2.94809874]]","[[ 2.05428770e+00  0.00000000e+00  0.00000000e+00]
 [-9.94980977e-04  3.40107240e+00  0.00000000e+00]
 [-3.15717548e-01 -2.01277795e-03  2.94085706e+00]]"
26,2212135,[0.73908913],86922.47573589005 kJ/mol,79118.40774329384 kJ/mol,78092.81444023237 kJ/mol,"[[ 2.499       0.          0.        ]
 [ 0.          2.8185      0.        ]
 [-0.48342052  0.          3.95425976]]","[[ 2.50627056  0.          0.        ]
 [ 0.01549625  2.78150511  0.        ]
 [-0.49493395 -0.01096524  3.98798506]]"
27,4022058,[0.9708188],1126.5383579984627 kJ/mol,-1283.999492111583 kJ/mol,-1352.3962363950013 kJ/mol,"[[ 2.292       0.          0.        ]
 [-0.1056124   2.6643076   0.        ]
 [-0.14785714 -0.76833469  2.99239855]]","[[ 2.28683025  0.          0.        ]
 [-0.10325916  2.6520101   0.        ]
 [-0.15120906 -0.7702663   3.0105247 ]]"
28,2231503,[1.169017],12113.832898302264 kJ/mol,10042.088601628993 kJ/mol,10042.08860162899 kJ/mol,"[[ 2.2842      0.          0.        ]
 [ 0.80790234  2.41736949  0.        ]
 [-0.80079041 -1.11794319  2.60442567]]","[[ 2.2842      0.          0.        ]
 [ 0.80790234  2.41736949  0.        ]
 [-0.80079041 -1.11794319  2.60442567]]"
29,7216997,[0.8023942],56789.357821935024 kJ/mol,40419.872495803924 kJ/mol,40342.146973610725 kJ/mol,"[[ 2.3085      0.          0.        ]
 [ 0.          2.9967      0.        ]
 [-0.65180787  0.          4.41403422]]","[[ 2.33169572e+00  0.00000000e+00  0.00000000e+00]
 [-8.49412374e-04  3.01021463e+00  0.00000000e+00]
 [-6.46114917e-01 -1.16413628e-03  4.42250227e+00]]"
